Time,X,Z,DisplayWeight_t,LifMag0Accum,LifMag1Accum,LifMag2Accum,LifMag3Accum,LifMag4Accum
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.043,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.048,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.054,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.062,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.081,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.089,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.095,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.120,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.167,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.173,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.185,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.221,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.227,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.239,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.244,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.275,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.282,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.288,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.294,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.307,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.312,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.318,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.325,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.338,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.343,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.348,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.354,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.360,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.365,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.371,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.377,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.383,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.393,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.406,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.411,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.417,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.423,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.430,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.438,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.458,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.469,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.475,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.482,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.487,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.493,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.499,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.505,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.511,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.516,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.524,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.529,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.533,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.540,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.545,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.550,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.557,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.562,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.567,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.574,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.580,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.585,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.591,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.596,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.602,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.609,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.614,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.621,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.627,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.632,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.640,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.645,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.650,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.656,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.662,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.673,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.678,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.684,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.690,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.697,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.703,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.709,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.714,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.720,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.725,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.731,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.738,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.744,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.748,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.755,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.762,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.768,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.774,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.781,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.786,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.793,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.799,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.806,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.812,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.819,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.827,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.832,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.840,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.846,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.859,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.864,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.871,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.878,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.884,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.892,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.898,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.904,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.911,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.919,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.924,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.929,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.937,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.944,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.950,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.958,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.964,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.971,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.978,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.029,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.035,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.043,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.049,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.064,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.078,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.084,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.092,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.099,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.106,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.134,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.157,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.171,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.186,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.223,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.228,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.233,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.246,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.257,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.262,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.274,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.280,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.314,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.321,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.327,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.332,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.340,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.345,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.350,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.357,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.362,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.368,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.373,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.379,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.385,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.390,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.397,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.409,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.414,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.420,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
