time,gameScreenX,gameScreenY,windowsX,windowsY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight,isValid
0.0247,1418.52,803.16,917.03,553.68,0.477622,0.487330,917.03,526.32,1920,1080,1
0.0482,1418.52,803.16,917.03,553.68,0.477622,0.487330,917.03,526.32,1920,1080,1
0.0697,1419.20,803.26,918.40,553.49,0.478334,0.487510,918.40,526.51,1920,1080,1
0.0952,1420.35,803.58,920.71,552.83,0.479535,0.488118,920.71,527.17,1920,1080,1
0.1203,1420.75,804.01,921.50,551.98,0.479946,0.488905,921.50,528.02,1920,1080,1
0.1439,1420.75,804.01,921.50,551.98,0.479946,0.488905,921.50,528.02,1920,1080,1
0.1674,1420.50,804.23,921.00,551.53,0.479686,0.489323,921.00,528.47,1920,1080,1
0.1903,1420.38,804.08,920.75,551.85,0.479559,0.489030,920.75,528.15,1920,1080,1
0.2139,1420.50,803.77,921.01,552.46,0.479692,0.488462,921.01,527.54,1920,1080,1
0.2386,1419.47,805.22,918.93,549.56,0.478611,0.491147,918.93,530.44,1920,1080,1
0.2631,1419.47,805.22,918.93,549.56,0.478611,0.491147,918.93,530.44,1920,1080,1
0.2878,1405.45,814.95,890.90,530.09,0.464012,0.509175,890.90,549.91,1920,1080,1
0.3125,1381.60,834.08,843.21,491.85,0.439171,0.544585,843.21,588.15,1920,1080,1
0.3377,1359.63,853.19,799.25,453.61,0.416277,0.579988,799.25,626.39,1920,1080,1
0.3598,1344.33,867.19,768.66,425.62,0.400343,0.605907,768.66,654.38,1920,1080,1
0.3827,1344.33,867.19,768.66,425.62,0.400343,0.605907,768.66,654.38,1920,1080,1
0.4059,1334.27,875.33,748.53,409.34,0.389860,0.620982,748.53,670.66,1920,1080,1
0.4305,1327.97,881.17,735.94,397.67,0.383304,0.631792,735.94,682.34,1920,1080,1
0.4516,1324.04,884.32,728.07,391.36,0.379203,0.637629,728.07,688.64,1920,1080,1
0.4753,1267.84,832.68,615.67,494.65,0.320663,0.541994,615.67,585.35,1920,1080,1
0.4994,1267.84,832.68,615.67,494.65,0.320663,0.541994,615.67,585.35,1920,1080,1
0.5236,1267.84,832.68,615.67,494.65,0.320663,0.541994,615.67,585.35,1920,1080,1
0.5451,1247.62,675.78,575.24,808.45,0.299607,0.251440,575.24,271.55,1920,1080,1
0.5670,1261.03,740.06,602.05,679.88,0.313569,0.370481,602.05,400.12,1920,1080,1
0.5906,1261.03,740.06,602.05,679.88,0.313569,0.370481,602.05,400.12,1920,1080,1
0.6140,1261.59,710.69,603.19,738.63,0.314160,0.316086,603.19,341.37,1920,1080,1
0.6395,1249.48,714.02,578.96,731.95,0.301542,0.322267,578.96,348.05,1920,1080,1
0.6616,1241.32,718.35,562.65,723.30,0.293046,0.330277,562.65,356.70,1920,1080,1
0.6837,1241.32,718.35,562.65,723.30,0.293046,0.330277,562.65,356.70,1920,1080,1
0.7086,1235.46,719.46,550.92,721.07,0.286938,0.332341,550.92,358.93,1920,1080,1
0.7312,1232.53,720.32,545.06,719.35,0.283884,0.333931,545.06,360.65,1920,1080,1
0.7547,1230.02,721.09,540.04,717.82,0.281272,0.335349,540.04,362.18,1920,1080,1
0.7806,1226.96,726.94,533.93,706.12,0.278087,0.346189,533.93,373.88,1920,1080,1
0.8056,1226.96,726.94,533.93,706.12,0.278087,0.346189,533.93,373.88,1920,1080,1
0.8268,1218.23,759.62,516.46,640.76,0.268989,0.406704,516.46,439.24,1920,1080,1
0.8517,1191.91,845.13,463.82,469.74,0.241573,0.565058,463.82,610.26,1920,1080,1
0.8779,1167.69,915.27,415.38,329.46,0.216341,0.694947,415.38,750.54,1920,1080,1
0.9045,1155.56,948.08,391.11,263.84,0.203703,0.755702,391.11,816.16,1920,1080,1
0.9294,1155.56,948.08,391.11,263.84,0.203703,0.755702,391.11,816.16,1920,1080,1
0.9504,1150.79,963.30,381.58,233.40,0.198741,0.783886,381.58,846.60,1920,1080,1
0.9712,1148.68,970.63,377.35,218.75,0.196538,0.797456,377.35,861.25,1920,1080,1
0.9918,1148.68,970.63,377.35,218.75,0.196538,0.797456,377.35,861.25,1920,1080,1
1.0140,1147.49,973.57,374.98,212.86,0.195303,0.802904,374.98,867.14,1920,1080,1
