Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-0.4839
0.022,0.0000,0.0000,0.0000,-0.4839
0.032,0.0000,0.0000,0.0000,-0.4839
0.042,0.0000,0.0000,0.0000,-0.4839
0.050,0.0000,0.0000,0.0000,-0.4839
0.058,0.0000,0.0000,0.0000,-0.4839
0.064,0.0000,0.0000,0.0000,-0.4839
0.071,0.0000,0.0000,0.0000,-0.4839
0.077,0.0000,0.0000,0.0000,-0.4839
0.083,0.0000,0.0000,0.0000,-0.4839
0.090,0.0000,0.0000,0.0000,-0.4839
0.098,0.0000,0.0000,0.0000,-0.4839
0.104,0.0000,0.0000,0.0000,-0.4839
0.109,0.0000,0.0000,0.0000,-0.4839
0.113,0.0000,0.0000,0.0000,-0.4839
0.119,0.0000,0.0000,0.0000,-0.4839
0.125,0.0000,0.0000,0.0000,-0.4839
0.131,0.0000,0.0000,0.0000,-0.4839
0.137,0.0000,0.0000,0.0000,-0.4839
0.142,0.0000,0.0000,0.0000,-0.4839
0.147,0.0000,0.0000,0.0000,-0.4839
0.152,0.0000,0.0000,0.0000,-0.4839
0.159,0.0000,0.0000,0.0000,-0.4839
0.170,0.0000,0.0000,0.0000,-0.4839
0.177,0.0000,0.0000,0.0000,-0.4839
0.183,0.0000,0.0000,0.0000,-0.4839
0.189,0.0000,0.0000,0.0000,-0.4839
0.196,0.0000,0.0000,0.0000,-0.4839
0.200,0.0000,0.0000,0.0000,-0.4839
0.207,0.0000,0.0000,0.0000,-0.4839
0.212,0.0000,0.0000,0.0000,-0.4839
0.218,0.0000,0.0000,0.0000,-0.4839
0.225,0.0000,0.0000,0.0000,-0.4839
0.230,0.0000,0.0000,0.0000,-0.4839
0.237,0.0000,0.0000,0.0000,-0.4839
0.243,0.0000,0.0000,0.0000,-0.4839
0.248,0.0000,0.0000,0.0000,-0.4839
0.254,0.0000,0.0000,0.0000,-0.4839
0.259,0.0000,0.0000,0.0000,-0.4839
0.263,0.0000,0.0000,0.0000,-0.4839
0.269,0.0000,0.0000,0.0000,-0.4839
0.274,0.0000,0.0000,0.0000,-0.4839
0.282,0.0000,0.0000,0.0000,-0.4839
0.287,0.0000,0.0000,0.0000,-0.4839
0.292,0.0000,0.0000,0.0000,-0.4839
0.298,0.0000,0.0000,0.0000,-0.4839
0.304,0.0000,0.0000,0.0000,-0.4839
0.311,0.0000,0.0000,0.0000,-0.4839
0.318,0.0000,0.0000,0.0000,-0.4839
0.323,0.0000,0.0000,0.0000,-0.4839
0.328,0.0000,0.0000,0.0000,-0.4839
0.334,0.0000,0.0000,0.0000,-0.4839
0.341,0.0000,0.0000,0.0000,-0.4839
0.347,0.0000,0.0000,0.0000,-0.4839
0.352,0.0000,0.0000,0.0000,-0.4839
0.359,0.0000,0.0000,0.0000,-0.4839
0.366,0.0000,0.0000,0.0000,-0.4839
0.373,0.0000,0.0000,0.0000,-0.4839
0.380,0.0000,0.0000,0.0000,-0.4839
0.384,0.0000,0.0000,0.0000,-0.4839
0.392,0.0000,0.0000,0.0000,-0.4839
0.398,0.0000,0.0000,0.0000,-0.4839
0.403,0.0000,0.0000,0.0000,-0.4839
0.410,0.0000,0.0000,0.0000,-0.4839
0.415,0.0000,0.0000,0.0000,-0.4839
0.422,0.0000,0.0000,0.0000,-0.4839
0.427,0.0000,0.0000,0.0000,-0.4839
0.432,0.0000,0.0000,0.0000,-0.4839
