Time,X,Y,Z
0.000,0.0000,9.3638,0.0000
0.022,0.0000,9.3638,0.0000
0.032,0.0000,9.3638,0.0000
0.042,0.0000,9.3638,0.0000
0.050,0.0000,9.3638,0.0000
0.058,0.0000,9.3638,0.0000
0.064,0.0000,9.3638,0.0000
0.071,0.0000,9.3638,0.0000
0.077,0.0000,9.3638,0.0000
0.083,0.0000,9.3638,0.0000
0.090,0.0000,9.3638,0.0000
0.098,0.0000,9.3638,0.0000
0.104,0.0000,9.3638,0.0000
0.109,0.0000,9.3638,0.0000
0.113,0.0000,9.3638,0.0000
0.119,0.0000,9.3638,0.0000
0.125,0.0000,9.3638,0.0000
0.131,0.0000,9.3638,0.0000
0.137,0.0000,9.3638,0.0000
0.142,0.0000,9.3638,0.0000
0.147,0.0000,9.3638,0.0000
0.152,0.0000,9.3638,0.0000
0.159,0.0000,9.3638,0.0000
0.170,0.0000,9.3638,0.0000
0.177,0.0000,9.3638,0.0000
0.183,0.0000,9.3638,0.0000
0.189,0.0000,9.3638,0.0000
0.196,0.0000,9.3638,0.0000
0.200,0.0000,9.3638,0.0000
0.207,0.0000,9.3638,0.0000
0.212,0.0000,9.3638,0.0000
0.218,0.0000,9.3638,0.0000
0.225,0.0000,9.3638,0.0000
0.230,0.0000,9.3638,0.0000
0.237,0.0000,9.3638,0.0000
0.243,0.0000,9.3638,0.0000
0.248,0.0000,9.3638,0.0000
0.254,0.0000,9.3638,0.0000
0.259,0.0000,9.3638,0.0000
0.263,0.0000,9.3638,0.0000
0.269,0.0000,9.3638,0.0000
0.274,0.0000,9.3638,0.0000
0.282,0.0000,9.3638,0.0000
0.287,0.0000,9.3638,0.0000
0.292,0.0000,9.3638,0.0000
0.298,0.0000,9.3638,0.0000
0.304,0.0000,9.3638,0.0000
0.311,0.0000,9.3638,0.0000
0.318,0.0000,9.3638,0.0000
0.323,0.0000,9.3638,0.0000
0.328,0.0000,9.3638,0.0000
0.334,0.0000,9.3638,0.0000
0.341,0.0000,9.3638,0.0000
0.347,0.0000,9.3638,0.0000
0.352,0.0000,9.3638,0.0000
0.359,0.0000,9.3638,0.0000
0.366,0.0000,9.3638,0.0000
