sampleIndex,time,isConnected,appFocused,isValid,gameScreenX,gameScreenY,windowsX,windowsY,viewportX,viewportY,rawScreenX,rawScreenY,screenWidth,screenHeight
0,0.0215,True,True,1,764.97,369.93,764.97,369.93,0.398424,0.342526,764.97,369.93,1920,1080
1,0.0320,True,True,1,793.82,392.99,793.82,392.99,0.413447,0.363879,793.82,392.99,1920,1080
2,0.0504,True,True,1,793.82,392.99,793.82,392.99,0.413447,0.363879,793.82,392.99,1920,1080
3,0.0709,True,True,1,820.19,414.19,820.19,414.19,0.427181,0.383508,820.19,414.19,1920,1080
4,0.0904,True,True,1,841.21,430.64,841.21,430.64,0.438131,0.398743,841.21,430.64,1920,1080
5,0.1134,True,True,1,841.21,430.64,841.21,430.64,0.438131,0.398743,841.21,430.64,1920,1080
6,0.1305,True,True,1,857.08,444.26,857.08,444.26,0.446397,0.411348,857.08,444.26,1920,1080
7,0.1519,True,True,1,867.69,452.29,867.69,452.29,0.451919,0.418790,867.69,452.29,1920,1080
8,0.1705,True,True,1,867.69,452.29,867.69,452.29,0.451919,0.418790,867.69,452.29,1920,1080
9,0.1959,True,True,1,875.21,457.67,875.21,457.67,0.455841,0.423765,875.21,457.67,1920,1080
10,0.2120,True,True,1,880.50,461.18,880.50,461.18,0.458595,0.427014,880.50,461.18,1920,1080
11,0.2370,True,True,1,880.50,461.18,880.50,461.18,0.458595,0.427014,880.50,461.18,1920,1080
12,0.2537,True,True,1,884.66,464.02,884.66,464.02,0.460762,0.429651,884.66,464.02,1920,1080
13,0.2743,True,True,1,887.32,465.73,887.32,465.73,0.462145,0.431229,887.32,465.73,1920,1080
14,0.2921,True,True,1,887.32,465.73,887.32,465.73,0.462145,0.431229,887.32,465.73,1920,1080
15,0.3114,True,True,1,888.96,467.23,888.96,467.23,0.463002,0.432622,888.96,467.23,1920,1080
16,0.3338,True,True,1,890.30,467.45,890.30,467.45,0.463696,0.432822,890.30,467.45,1920,1080
17,0.3524,True,True,1,890.30,467.45,890.30,467.45,0.463696,0.432822,890.30,467.45,1920,1080
18,0.3730,True,True,1,891.56,468.41,891.56,468.41,0.464354,0.433717,891.56,468.41,1920,1080
19,0.3919,True,True,1,892.51,469.09,892.51,469.09,0.464848,0.434347,892.51,469.09,1920,1080
20,0.4152,True,True,1,892.51,469.09,892.51,469.09,0.464848,0.434347,892.51,469.09,1920,1080
21,0.4323,True,True,1,893.09,468.83,893.09,468.83,0.465153,0.434099,893.09,468.83,1920,1080
22,0.4536,True,True,1,900.87,479.09,900.87,479.09,0.469205,0.443601,900.87,479.09,1920,1080
23,0.4742,True,True,1,900.87,479.09,900.87,479.09,0.469205,0.443601,900.87,479.09,1920,1080
24,0.4952,True,True,1,926.40,522.50,926.40,522.50,0.482499,0.483795,926.40,522.50,1920,1080
25,0.5148,True,True,1,954.26,572.53,954.26,572.53,0.497011,0.530121,954.26,572.53,1920,1080
26,0.5340,True,True,1,954.26,572.53,954.26,572.53,0.497011,0.530121,954.26,572.53,1920,1080
27,0.5517,True,True,1,973.95,607.52,973.95,607.52,0.507266,0.562517,973.95,607.52,1920,1080
28,0.5752,True,True,1,986.98,628.92,986.98,628.92,0.514053,0.582333,986.98,628.92,1920,1080
29,0.5932,True,True,1,986.98,628.92,986.98,628.92,0.514053,0.582333,986.98,628.92,1920,1080
30,0.6107,True,True,1,994.66,642.44,994.66,642.44,0.518053,0.594856,994.66,642.44,1920,1080
31,0.6336,True,True,1,999.09,649.61,999.09,649.61,0.520357,0.601490,999.09,649.61,1920,1080
32,0.6551,True,True,1,999.09,649.61,999.09,649.61,0.520357,0.601490,999.09,649.61,1920,1080
33,0.6749,True,True,1,1002.37,652.89,1002.37,652.89,0.522068,0.604528,1002.37,652.89,1920,1080
34,0.6936,True,True,1,1003.99,654.38,1003.99,654.38,0.522910,0.605911,1003.99,654.38,1920,1080
35,0.7134,True,True,1,1003.99,654.38,1003.99,654.38,0.522910,0.605911,1003.99,654.38,1920,1080
36,0.7362,True,True,1,1004.50,656.32,1004.50,656.32,0.523175,0.607705,1004.50,656.32,1920,1080
37,0.7561,True,True,1,1005.26,656.41,1005.26,656.41,0.523574,0.607783,1005.26,656.41,1920,1080
38,0.7776,True,True,1,1005.26,656.41,1005.26,656.41,0.523574,0.607783,1005.26,656.41,1920,1080
39,0.7980,True,True,1,1004.38,656.50,1004.38,656.50,0.523114,0.607871,1004.38,656.50,1920,1080
40,0.8110,True,True,1,1004.38,656.50,1004.38,656.50,0.523114,0.607871,1004.38,656.50,1920,1080
41,0.8318,True,True,1,984.11,660.17,984.11,660.17,0.512559,0.611273,984.11,660.17,1920,1080
42,0.8514,True,True,1,957.40,665.94,957.40,665.94,0.498648,0.616612,957.40,665.94,1920,1080
43,0.8731,True,True,1,932.17,671.48,932.17,671.48,0.485504,0.621738,932.17,671.48,1920,1080
44,0.8925,True,True,1,932.17,671.48,932.17,671.48,0.485504,0.621738,932.17,671.48,1920,1080
45,0.9117,True,True,1,910.61,676.32,910.61,676.32,0.474276,0.626226,910.61,676.32,1920,1080
46,0.9313,True,True,1,910.61,676.32,910.61,676.32,0.474276,0.626226,910.61,676.32,1920,1080
47,0.9517,True,True,1,892.72,680.96,892.72,680.96,0.464959,0.630520,892.72,680.96,1920,1080
48,0.9704,True,True,1,878.95,685.27,878.95,685.27,0.457788,0.634511,878.95,685.27,1920,1080
